n,x,y
1,0.075866453,1.895609782
2,0.08278715,1.225434837
3,0.076995764,0.530626795
4,0.868890997,1.879088213
5,0.441560525,1.498967272
6,0.482404962,0.901870775
7,1.343932238,1.027476243
8,1.503968214,1.693378657
9,1.46023669,1.364215674
10,1.446090321,0.669414945
11,2.164664633,1.642756228
12,2.195106162,0.577664674
13,2.836264886,1.399897192
14,2.835736737,1.012004154
15,2.886384858,0.613640472
16,2.67678078,1.867962944
17,4.006875938,1.446641197
18,3.600048914,0.550058265
19,3.343757008,1.702124667
20,3.458798668,2.076227338
21,3.997769147,0.889352652
22,3.510215806,1.022609727
23,4.199780701,1.843682942
24,3.860215806,0.222609727
25,3.899780701,2.203682942
26,4.299780701,0.543682942
27,4.399780701,1.343682942
28,4.599780701,0.843682942
29,5.099780701,2.243682942
30,5.199780701,1.043682942
31,4.699780701,2.543682942
32,4.199780701,2.443682942
33,5.299780701,1.843682942
34,4.999780701,1.543682942
35,6.099780701,2.243682942
36,6.199780701,1.043682942
37,5.699780701,2.543682942
38,5.199780701,2.443682942
39,6.299780701,1.843682942
40,5.999780701,1.543682942
